created_at,id,full_text,user_name,user_screen_name,user_location,user_description,lang,clean_text,usernames,hashtags,links,sentiment
Sat Jul 25 14:22:10 +0000 2020,1287030385654849539,"Today, @MDHealthDept reports 83,054 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 4.48%.

Maryland has 3,304 deaths, 742,272 negative tests and 5,434 patients have been released from isolation.

https://t.co/9LEHaSDimJ https://t.co/3ZH1HJBzpR",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Today reports 83 054 confirmed cases of COVID19 in Maryland The statewide positivity rate is now 4 48 Maryland has 3 304 deaths 742 272 negative tests and 5 434 patients have been released from isolation,MDHealthDept,COVID19,"https://t.co/9LEHaSDimJ,https://t.co/3ZH1HJBzpR",0.05000000000000002
Fri Jul 24 19:51:31 +0000 2020,1286750881707425793,"RT @CDCgov: A new @CDCMMWR report shows that young, previously healthy adults can take a long time to recover from #COVID19. The study foun…",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, A new report shows that young previously healthy adults can take a long time to recover from COVID19 The study foun,"CDCgov,CDCMMWR",COVID19,,0.17159090909090907
Fri Jul 24 17:37:47 +0000 2020,1286717227983568898,RT @GovLarryHogan: Deputy Secretary for Public Health Fran Phillips puts it best: we can continue to crush the curve if we all take basic s…,Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, Deputy Secretary for Public Health Fran Phillips puts it best we can continue to crush the curve if we all take basic s,GovLarryHogan,,,0.3333333333333333
Fri Jul 24 15:29:32 +0000 2020,1286684950318788610,"Today, @MDHealthDept reports 81,766 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 4.69%.

Maryland has 3,293 deaths, 722,584 negative tests and 5,434 patients have been released from isolation.

https://t.co/9LEHaSDimJ https://t.co/v68u4m6GB1",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Today reports 81 766 confirmed cases of COVID19 in Maryland The statewide positivity rate is now 4 69 Maryland has 3 293 deaths 722 584 negative tests and 5 434 patients have been released from isolation,MDHealthDept,COVID19,"https://t.co/9LEHaSDimJ,https://t.co/v68u4m6GB1",0.05000000000000002
Fri Jul 24 00:41:25 +0000 2020,1286461448772870147,RT @GovLarryHogan: Contact tracing is essential to stopping the spread of #COVID19 by helping determine who may be infected. If you get a c…,Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, Contact tracing is essential to stopping the spread of COVID19 by helping determine who may be infected If you get a c,GovLarryHogan,COVID19,,0.0
Thu Jul 23 19:27:54 +0000 2020,1286382551058337793,"Protecting children against vaccine-preventable diseases is critical. “Though there is no vaccine yet to prevent COVID-19, there are vaccines that help prevent many other illnesses,” said @MDHealthDept Secretary Neall.

To view your child’s records, visit: https://t.co/sxieLX8KTv https://t.co/4viO3LtvXy",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Protecting children against vaccine preventable diseases is critical Though there is no vaccine yet to prevent COVID 19 there are vaccines that help prevent many other illnesses said Secretary Neall To view your child s records visit,MDHealthDept,,"https://t.co/sxieLX8KTv,https://t.co/4viO3LtvXy",0.125
Thu Jul 23 17:09:01 +0000 2020,1286347601336573952,"RT @GovLarryHogan: It’s really pretty simple: no shirt, no shoes, no mask, no service. #MasksOnMaryland https://t.co/LKRaR2qRN8",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, It s really pretty simple no shirt no shoes no mask no service MasksOnMaryland,GovLarryHogan,MasksOnMaryland,https://t.co/LKRaR2qRN8,0.125
Thu Jul 23 14:14:27 +0000 2020,1286303667457536002,"Today, @MDHealthDept reports 80,836 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 4.56%.

Maryland has 3,281 deaths, 708,205 negative tests and 5,434 patients have been released from isolation.

https://t.co/9LEHaSDimJ https://t.co/GLDPwHaeGi",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Today reports 80 836 confirmed cases of COVID19 in Maryland The statewide positivity rate is now 4 56 Maryland has 3 281 deaths 708 205 negative tests and 5 434 patients have been released from isolation,MDHealthDept,COVID19,"https://t.co/9LEHaSDimJ,https://t.co/GLDPwHaeGi",0.05000000000000002
Thu Jul 23 00:30:56 +0000 2020,1286096424267124737,RT @GovLarryHogan: Only you can stop the spread of COVID-19. Practice physical distancing. Wear a mask. Stay #MarylandStrong. https://t.co/…,Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, Only you can stop the spread of COVID 19 Practice physical distancing Wear a mask Stay MarylandStrong,GovLarryHogan,MarylandStrong,https://t.co/…,0.0
Wed Jul 22 21:11:12 +0000 2020,1286046160747220994,"RT @GovLarryHogan: Watch today's press conference live: 

https://t.co/TC0QvrxphL",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, Watch today s press conference live,GovLarryHogan,,https://t.co/TC0QvrxphL,0.13636363636363635
